更新时间,#genre#
20240715-00-54-25,url

自用,#genre#
粤语电影1,http://allinone.netsite.cc/douyu/6566671
经典电影,http://allinone.netsite.cc/douyu/3637778
经典电影2,http://allinone.netsite.cc/huya/11352965
经典电影3,http://allinone.netsite.cc/huya/11342390
经典电影4,http://allinone.netsite.cc/huya/11342424
经典电影5,http://allinone.netsite.cc/huya/11336571
经典电影6,http://allinone.netsite.cc/huya/26058097
经典电影7,http://allinone.netsite.cc/huya/11601968
经典电影8,http://allinone.netsite.cc/huya/11279251
经典电影9,http://allinone.netsite.cc/huya/11282233
鬼片专场,http://allinone.netsite.cc/huya/23796393
鬼片专场2,http://allinone.netsite.cc/huya/11601960
成龙经典,http://allinone.netsite.cc/huya/11342386
许氏电影,http://allinone.netsite.cc/huya/11602033
周星星,http://allinone.netsite.cc/huya/11342412
周星星2,http://allinone.netsite.cc/huya/11336587
周星星3,http://allinone.netsite.cc/huya/11342423
林正英1,http://allinone.netsite.cc/huya/29978179
林正英2,http://cfss.cc/cdn/hy/11342421.flv
林正英3,http://allinone.netsite.cc/huya/29551429
林正英4,http://allinone.netsite.cc/huya/30016485
林正英5,http://allinone.netsite.cc/huya/27586442
终极一班,http://allinone.netsite.cc/huya/21059610
终极三国,http://allinone.netsite.cc/huya/21059562
金庸系列,http://allinone.netsite.cc/huya/11602082
康熙私访,http://allinone.netsite.cc/huya/11342418
沈腾马丽经典小品,http://allinone.netsite.cc/douyu/10153463
铁齿铜牙纪晓岚,http://allinone.netsite.cc/huya/11342396
铁齿铜牙纪晓岚2,http://allinone.netsite.cc/huya/25132963
家有儿女,http://allinone.netsite.cc/huya/29915635
家有儿女2,http://allinone.netsite.cc/huya/11352872
蜡笔小新,http://allinone.netsite.cc/huya/29798259
蜡笔小新2,http://allinone.netsite.cc/huya/29451869
蜡笔小新3,http://allinone.netsite.cc/huya/29458851
蜡笔小新4,http://allinone.netsite.cc/huya/17139049
蜡笔小新5,http://allinone.netsite.cc/huya/11352970
沙雕动画合集,http://allinone.netsite.cc/huya/28272846
爱情公寓,http://allinone.netsite.cc/huya/11336726
陈翔六点半,http://allinone.netsite.cc/huya/cxldb
王大锤,http://allinone.netsite.cc/douyu/9220456
开心锤锤,http://allinone.netsite.cc/douyu/9018297
地下交通站,http://allinone.netsite.cc/huya/11342433
天龙八部,http://allinone.netsite.cc/huya/23903123
港版西游记,http://allinone.netsite.cc/huya/23735126
港版西游记2,http://allinone.netsite.cc/huya/23728660
笑傲江湖,http://allinone.netsite.cc/huya/23865142
寻秦记,http://allinone.netsite.cc/huya/23864973
洗冤录,http://allinone.netsite.cc/huya/23903130
封神榜,http://allinone.netsite.cc/huya/23749096
老友记,http://allinone.netsite.cc/huya/26355834
荒野求生,http://allinone.netsite.cc/huya/16289380
大头绿衣斗僵尸,http://allinone.netsite.cc/huya/23865152
火影疾风传,http://allinone.netsite.cc/huya/11342385
汕头综合,http://www.zzlag.top:9087/tsfile/live/1002_1.m3u8?key=txiptv
东标电化影带://////////////////////伊=埃特夫电影
东行新日,新日区://双日网/智能网?伊德=埃特维斯
东风巡洋舰片状,HTTP://BSS.服务0.NET/SMA.PP?伊德=埃茨维西
中天新星,千兆:///伊=克蒂诺
双双民谣,双打://bsa。服务0.NET/Sama。p?IDY=FtvITAwin_TWN
//服务网/信息网/信息网?编码=Tvbs
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
Tvbs新海市中心,https://bss。服务0.NET/Sama.php?ID=Tvbs_n
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
八大第1台,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合台,http://61.221.215.25:8800/hls/56/index.m3u8
八大综合台,https://bsex.serv00.net/Smart.php?id=badazhonghe
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
VIUTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
---------------------------------------------------------------------------ID=Ttvdp_TWN
每半年代写一次的《新楼报》:///b...网站/智能网.p.p.?ID=尼亚丹达内韦丝
澳门Macau,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
新河/新河/新河。斯特拉姆/春条。
网站:8880/TPod/IPT.php.p?ID=新河
亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
